"X","Y","Z","Intensity","ReturnNumber","NumberOfReturns","ScanDirectionFlag","EdgeOfFlightLine","Classification","ScanAngleRank","UserData","PointSourceId","GpsTime","Red","Green","Blue"
636269.260,849488.780,408.500,2.000,1.000,1.000,0.000,0.000,2.000,11.000,133.000,7328.000,246506.691,109.000,97.000,110.000
636141.900,850134.150,426.840,150.000,1.000,1.000,1.000,0.000,1.000,-1.000,124.000,7328.000,246506.895,48.000,65.000,62.000
636113.320,850146.950,426.570,124.000,1.000,1.000,1.000,0.000,1.000,-2.000,124.000,7328.000,246507.106,106.000,99.000,114.000
636123.460,849913.020,489.110,2.000,1.000,3.000,0.000,0.000,1.000,2.000,132.000,7328.000,246507.306,103.000,101.000,118.000
636086.520,849981.960,424.700,43.000,3.000,3.000,1.000,0.000,2.000,0.000,126.000,7328.000,246507.509,62.000,74.000,74.000
636023.750,850179.430,426.380,158.000,1.000,1.000,1.000,0.000,2.000,-5.000,124.000,7328.000,246507.719,136.000,105.000,138.000
635957.250,850335.500,426.670,97.000,1.000,1.000,1.000,0.000,1.000,-8.000,122.000,7328.000,246507.929,141.000,106.000,141.000
635968.960,849937.400,462.010,12.000,2.000,2.000,0.000,0.000,1.000,0.000,130.000,7328.000,246508.130,53.000,64.000,68.000
635956.330,849717.090,479.820,2.000,1.000,2.000,0.000,0.000,1.000,5.000,128.000,7328.000,246508.321,56.000,73.000,72.000
635787.370,850497.010,439.730,22.000,1.000,1.000,1.000,0.000,1.000,-10.000,124.000,7328.000,246508.522,71.000,61.000,81.000
635822.600,849938.120,407.220,74.000,1.000,1.000,0.000,0.000,2.000,1.000,128.000,7328.000,246508.705,98.000,102.000,114.000
635764.990,849960.630,536.580,12.000,1.000,3.000,1.000,0.000,1.000,2.000,124.000,7328.000,246508.888,46.000,60.000,60.000
635673.460,850157.550,435.730,70.000,1.000,1.000,1.000,0.000,1.000,0.000,124.000,7328.000,246509.079,228.000,220.000,231.000
635698.650,849415.880,423.920,2.000,1.000,1.000,1.000,0.000,1.000,15.000,128.000,7328.000,246509.351,101.000,95.000,119.000
635650.950,850244.030,424.930,33.000,1.000,1.000,1.000,0.000,2.000,-11.000,126.000,7329.000,247175.610,109.000,104.000,122.000
635712.010,850236.520,437.340,51.000,2.000,2.000,0.000,0.000,1.000,-10.000,124.000,7329.000,247175.968,164.000,136.000,154.000
635769.420,850249.180,475.850,0.000,2.000,2.000,1.000,0.000,1.000,-8.000,129.000,7329.000,247176.280,56.000,71.000,68.000
635878.350,850414.400,426.410,128.000,1.000,1.000,0.000,0.000,1.000,-4.000,124.000,7329.000,247176.638,133.000,104.000,130.000
635872.150,850110.430,424.540,143.000,1.000,1.000,0.000,0.000,1.000,-11.000,122.000,7329.000,247177.023,58.000,62.000,64.000
635944.130,850106.920,425.430,159.000,1.000,1.000,1.000,0.000,1.000,-13.000,127.000,7329.000,247177.410,64.000,72.000,82.000
636082.580,850430.480,425.750,22.000,1.000,1.000,1.000,0.000,2.000,-7.000,124.000,7329.000,247177.795,127.000,97.000,130.000
636078.940,850168.040,426.510,158.000,1.000,1.000,0.000,0.000,2.000,-12.000,124.000,7329.000,247178.172,132.000,100.000,135.000
636158.300,850360.660,424.310,1.000,1.000,1.000,1.000,0.000,2.000,-7.000,124.000,7329.000,247178.522,152.000,110.000,148.000
636144.910,850255.350,426.020,63.000,1.000,1.000,1.000,0.000,1.000,-8.000,126.000,7329.000,247178.867,134.000,106.000,140.000
636159.120,850173.490,427.000,136.000,1.000,1.000,0.000,0.000,2.000,-10.000,126.000,7329.000,247179.187,48.000,66.000,62.000
636228.940,850319.850,424.570,141.000,1.000,1.000,0.000,0.000,2.000,-8.000,126.000,7329.000,247179.474,62.000,80.000,80.000
636212.990,850173.820,426.380,83.000,2.000,2.000,1.000,0.000,1.000,-11.000,128.000,7329.000,247179.709,60.000,76.000,75.000
636221.880,850124.640,512.270,9.000,2.000,2.000,0.000,0.000,1.000,-13.000,126.000,7329.000,247179.954,56.000,67.000,70.000
636231.530,850077.790,460.330,15.000,2.000,3.000,1.000,0.000,1.000,-14.000,128.000,7329.000,247180.187,102.000,104.000,116.000
636251.210,850045.410,425.920,133.000,1.000,1.000,0.000,0.000,1.000,-14.000,126.000,7329.000,247180.433,88.000,89.000,105.000
636327.430,850120.240,458.790,21.000,1.000,1.000,0.000,0.000,1.000,-13.000,126.000,7329.000,247180.739,60.000,74.000,80.000
636411.020,850211.120,434.480,127.000,1.000,1.000,0.000,0.000,2.000,-14.000,124.000,7329.000,247181.026,118.000,96.000,126.000
636438.940,850105.220,480.050,24.000,1.000,1.000,0.000,0.000,1.000,-18.000,122.000,7329.000,247181.333,65.000,74.000,80.000
636472.770,850067.030,440.910,13.000,2.000,2.000,1.000,0.000,1.000,-19.000,126.000,7329.000,247181.643,79.000,86.000,96.000
636578.710,850318.110,437.470,141.000,1.000,1.000,1.000,0.000,2.000,-12.000,126.000,7329.000,247181.970,130.000,102.000,130.000
636553.120,850068.010,445.670,153.000,1.000,1.000,1.000,0.000,2.000,-15.000,126.000,7329.000,247182.294,91.000,89.000,105.000
636676.570,850308.100,440.490,104.000,1.000,1.000,0.000,0.000,1.000,-8.000,124.000,7329.000,247182.654,130.000,90.000,120.000
636673.260,850075.980,465.910,109.000,1.000,1.000,1.000,0.000,1.000,-11.000,124.000,7329.000,247183.003,78.000,65.000,86.000
636763.620,850157.410,444.590,133.000,1.000,1.000,1.000,0.000,2.000,-10.000,124.000,7329.000,247183.368,132.000,107.000,142.000
636796.260,850060.730,446.620,64.000,2.000,2.000,1.000,0.000,1.000,-12.000,127.000,7329.000,247183.712,57.000,70.000,74.000
636824.280,850016.670,432.150,2.000,2.000,2.000,0.000,0.000,1.000,-11.000,126.000,7329.000,247184.016,101.000,100.000,122.000
636940.160,850317.190,442.620,114.000,1.000,1.000,1.000,0.000,2.000,-4.000,124.000,7329.000,247184.288,58.000,72.000,74.000
636988.710,850330.310,442.360,0.000,3.000,3.000,0.000,0.000,2.000,-5.000,124.000,7329.000,247184.531,54.000,69.000,69.000
636973.490,850108.990,496.390,28.000,1.000,1.000,1.000,0.000,1.000,-11.000,128.000,7329.000,247184.728,96.000,98.000,114.000
637092.910,850373.230,440.160,1.000,2.000,2.000,1.000,0.000,1.000,-7.000,128.000,7329.000,247184.940,100.000,94.000,115.000
637128.510,850319.160,426.540,7.000,2.000,2.000,1.000,0.000,1.000,-8.000,128.000,7329.000,247185.151,58.000,66.000,77.000
637124.150,850105.740,423.490,56.000,1.000,1.000,1.000,0.000,1.000,-11.000,130.000,7329.000,247185.398,69.000,78.000,86.000
637183.830,850060.240,429.920,104.000,1.000,1.000,1.000,0.000,1.000,-10.000,130.000,7329.000,247185.743,52.000,64.000,66.000
638806.730,849255.810,424.900,125.000,1.000,1.000,1.000,0.000,1.000,-11.000,124.000,7326.000,245370.417,183.000,137.000,169.000
638774.410,849164.210,424.740,149.000,1.000,1.000,1.000,0.000,1.000,-9.000,124.000,7326.000,245370.743,177.000,130.000,163.000
638702.760,849284.940,423.720,151.000,1.000,1.000,0.000,0.000,1.000,-11.000,124.000,7326.000,245371.065,156.000,125.000,152.000
638646.620,849336.380,423.720,120.000,1.000,1.000,1.000,0.000,1.000,-12.000,124.000,7326.000,245371.374,120.000,113.000,142.000
638595.700,849263.480,423.820,167.000,1.000,1.000,0.000,0.000,1.000,-9.000,126.000,7326.000,245371.716,181.000,132.000,162.000
